File,2.csv,
1472.164480,1.9700E-004,1472.164480,1.1600E-004,1472.164480,6.8500E-005,1472.164480,3.8690E-005,1472.164480,2.8759E000
1472.180960,1.9480E-004,1472.180960,1.1480E-004,1472.180960,6.7740E-005,1472.180960,3.8640E-005,1472.180960,2.8757E000
1472.197440,1.9020E-004,1472.197440,1.1250E-004,1472.197440,6.6290E-005,1472.197440,3.7920E-005,1472.197440,2.8692E000
1472.213920,1.8530E-004,1472.213920,1.0930E-004,1472.213920,6.4410E-005,1472.213920,3.6830E-005,1472.213920,2.8769E000
1472.230400,1.8770E-004,1472.230400,1.0980E-004,1472.230400,6.4480E-005,1472.230400,3.6900E-005,1472.230400,2.9110E000
1472.246880,1.9270E-004,1472.246880,1.1300E-004,1472.246880,6.6220E-005,1472.246880,3.7960E-005,1472.246880,2.9100E000
1472.263360,1.9590E-004,1472.263360,1.1530E-004,1472.263360,6.7460E-005,1472.263360,3.8990E-005,1472.263360,2.9039E000
1472.279840,1.9700E-004,1472.279840,1.1580E-004,1472.279840,6.7950E-005,1472.279840,3.9430E-005,1472.279840,2.8992E000
1472.296320,1.9800E-004,1472.296320,1.1640E-004,1472.296320,6.8210E-005,1472.296320,3.9620E-005,1472.296320,2.9028E000
1472.312800,1.9870E-004,1472.312800,1.1660E-004,1472.312800,6.8310E-005,1472.312800,3.9790E-005,1472.312800,2.9088E000
1472.329280,1.9850E-004,1472.329280,1.1700E-004,1472.329280,6.8520E-005,1472.329280,4.0110E-005,1472.329280,2.8970E000
1472.345760,1.9930E-004,1472.345760,1.1710E-004,1472.345760,6.8480E-005,1472.345760,4.0270E-005,1472.345760,2.9103E000
1472.362240,1.9930E-004,1472.362240,1.1710E-004,1472.362240,6.8740E-005,1472.362240,4.0330E-005,1472.362240,2.8993E000
1472.378720,1.9950E-004,1472.378720,1.1740E-004,1472.378720,6.8380E-005,1472.378720,4.0560E-005,1472.378720,2.9175E000
1472.395200,2.0000E-004,1472.395200,1.1730E-004,1472.395200,6.8610E-005,1472.395200,4.0540E-005,1472.395200,2.9150E000
1472.411680,1.9980E-004,1472.411680,1.1750E-004,1472.411680,6.8630E-005,1472.411680,4.0610E-005,1472.411680,2.9113E000
1472.428160,2.0000E-004,1472.428160,1.1770E-004,1472.428160,6.8720E-005,1472.428160,4.0600E-005,1472.428160,2.9104E000
1472.444640,1.9930E-004,1472.444640,1.1730E-004,1472.444640,6.8670E-005,1472.444640,4.0900E-005,1472.444640,2.9023E000
1472.461120,1.9900E-004,1472.461120,1.1720E-004,1472.461120,6.8290E-005,1472.461120,4.1050E-005,1472.461120,2.9140E000
1472.477600,1.9750E-004,1472.477600,1.1630E-004,1472.477600,6.7840E-005,1472.477600,4.0730E-005,1472.477600,2.9113E000
1472.494080,1.9730E-004,1472.494080,1.1610E-004,1472.494080,6.7590E-005,1472.494080,4.0620E-005,1472.494080,2.9191E000
1472.510560,1.9900E-004,1472.510560,1.1700E-004,1472.510560,6.8100E-005,1472.510560,4.0970E-005,1472.510560,2.9222E000
1472.527040,2.0010E-004,1472.527040,1.1780E-004,1472.527040,6.8420E-005,1472.527040,4.1560E-005,1472.527040,2.9246E000
1472.543520,2.0030E-004,1472.543520,1.1810E-004,1472.543520,6.8420E-005,1472.543520,4.1650E-005,1472.543520,2.9275E000
1472.560000,2.0050E-004,1472.560000,1.1800E-004,1472.560000,6.8570E-005,1472.560000,4.1750E-005,1472.560000,2.9240E000
1472.576480,2.0070E-004,1472.576480,1.1800E-004,1472.576480,6.8440E-005,1472.576480,4.1820E-005,1472.576480,2.9325E000
1472.592960,2.0110E-004,1472.592960,1.1810E-004,1472.592960,6.8420E-005,1472.592960,4.1990E-005,1472.592960,2.9392E000
1472.609440,2.0130E-004,1472.609440,1.1800E-004,1472.609440,6.8480E-005,1472.609440,4.2140E-005,1472.609440,2.9395E000
1472.625920,2.0130E-004,1472.625920,1.1860E-004,1472.625920,6.8570E-005,1472.625920,4.2280E-005,1472.625920,2.9357E000
1472.642400,2.0220E-004,1472.642400,1.1860E-004,1472.642400,6.8530E-005,1472.642400,4.2370E-005,1472.642400,2.9505E000
1472.658880,2.0200E-004,1472.658880,1.1890E-004,1472.658880,6.8650E-005,1472.658880,4.2460E-005,1472.658880,2.9425E000
1472.675360,2.0240E-004,1472.675360,1.1910E-004,1472.675360,6.8800E-005,1472.675360,4.2800E-005,1472.675360,2.9419E000
1472.691840,2.0260E-004,1472.691840,1.1950E-004,1472.691840,6.8820E-005,1472.691840,4.3010E-005,1472.691840,2.9439E000
1472.708320,2.0300E-004,1472.708320,1.1930E-004,1472.708320,6.9080E-005,1472.708320,4.3180E-005,1472.708320,2.9386E000
1472.724800,2.0280E-004,1472.724800,1.1940E-004,1472.724800,6.8720E-005,1472.724800,4.3140E-005,1472.724800,2.9511E000
1472.741280,2.0280E-004,1472.741280,1.1960E-004,1472.741280,6.8950E-005,1472.741280,4.3330E-005,1472.741280,2.9413E000
1472.757760,2.0300E-004,1472.757760,1.1940E-004,1472.757760,6.8850E-005,1472.757760,4.3390E-005,1472.757760,2.9484E000
1472.774240,2.0320E-004,1472.774240,1.1930E-004,1472.774240,6.8610E-005,1472.774240,4.3410E-005,1472.774240,2.9617E000
1472.790720,2.0300E-004,1472.790720,1.1920E-004,1472.790720,6.8650E-005,1472.790720,4.3520E-005,1472.790720,2.9570E000
1472.807200,2.0240E-004,1472.807200,1.1920E-004,1472.807200,6.8570E-005,1472.807200,4.3670E-005,1472.807200,2.9517E000
1472.823680,2.0280E-004,1472.823680,1.1910E-004,1472.823680,6.8420E-005,1472.823680,4.3600E-005,1472.823680,2.9640E000
1472.840160,2.0260E-004,1472.840160,1.1920E-004,1472.840160,6.8420E-005,1472.840160,4.3750E-005,1472.840160,2.9611E000
1472.856640,2.0330E-004,1472.856640,1.1940E-004,1472.856640,6.8440E-005,1472.856640,4.3750E-005,1472.856640,2.9705E000
1472.873120,2.0330E-004,1472.873120,1.1970E-004,1472.873120,6.8590E-005,1472.873120,4.3860E-005,1472.873120,2.9640E000
1472.889600,2.0350E-004,1472.889600,1.1990E-004,1472.889600,6.8610E-005,1472.889600,4.4090E-005,1472.889600,2.9660E000
1472.906080,2.0430E-004,1472.906080,1.1990E-004,1472.906080,6.8610E-005,1472.906080,4.4240E-005,1472.906080,2.9777E000
1472.922560,2.0450E-004,1472.922560,1.2030E-004,1472.922560,6.8700E-005,1472.922560,4.4420E-005,1472.922560,2.9767E000
1472.939040,2.0450E-004,1472.939040,1.2020E-004,1472.939040,6.8760E-005,1472.939040,4.4630E-005,1472.939040,2.9741E000
1472.955520,2.0430E-004,1472.955520,1.2030E-004,1472.955520,6.8480E-005,1472.955520,4.4670E-005,1472.955520,2.9834E000
1472.972000,2.0410E-004,1472.972000,1.2070E-004,1472.972000,6.8780E-005,1472.972000,4.4820E-005,1472.972000,2.9674E000
1472.988480,2.0450E-004,1472.988480,1.2040E-004,1472.988480,6.8720E-005,1472.988480,4.4760E-005,1472.988480,2.9758E000
1473.004960,2.0430E-004,1473.004960,1.2020E-004,1473.004960,6.8480E-005,1473.004960,4.4950E-005,1473.004960,2.9834E000
1473.021440,2.0460E-004,1473.021440,1.2020E-004,1473.021440,6.8440E-005,1473.021440,4.4960E-005,1473.021440,2.9895E000
1473.037920,2.0400E-004,1473.037920,1.1970E-004,1473.037920,6.8190E-005,1473.037920,4.4920E-005,1473.037920,2.9916E000
1473.054400,2.0310E-004,1473.054400,1.1980E-004,1473.054400,6.8140E-005,1473.054400,4.4860E-005,1473.054400,2.9806E000
1473.070880,2.0270E-004,1473.070880,1.1960E-004,1473.070880,6.7870E-005,1473.070880,4.5050E-005,1473.070880,2.9866E000
1473.087360,2.0190E-004,1473.087360,1.1870E-004,1473.087360,6.7510E-005,1473.087360,4.4880E-005,1473.087360,2.9907E000
1473.103840,2.0180E-004,1473.103840,1.1870E-004,1473.103840,6.7530E-005,1473.103840,4.4670E-005,1473.103840,2.9883E000
1473.120320,2.0340E-004,1473.120320,1.1930E-004,1473.120320,6.7680E-005,1473.120320,4.5050E-005,1473.120320,3.0053E000
1473.136800,2.0420E-004,1473.136800,1.2010E-004,1473.136800,6.8100E-005,1473.136800,4.5350E-005,1473.136800,2.9985E000
1473.153280,2.0530E-004,1473.153280,1.2050E-004,1473.153280,6.8290E-005,1473.153280,4.5580E-005,1473.153280,3.0063E000
1473.169760,2.0530E-004,1473.169760,1.2090E-004,1473.169760,6.8360E-005,1473.169760,4.5810E-005,1473.169760,3.0032E000
1473.186240,2.0530E-004,1473.186240,1.2100E-004,1473.186240,6.8360E-005,1473.186240,4.6010E-005,1473.186240,3.0032E000
1473.202720,2.0550E-004,1473.202720,1.2100E-004,1473.202720,6.8480E-005,1473.202720,4.6010E-005,1473.202720,3.0009E000
1473.219200,2.0530E-004,1473.219200,1.2080E-004,1473.219200,6.8420E-005,1473.219200,4.6130E-005,1473.219200,3.0006E000
1473.235680,2.0530E-004,1473.235680,1.2080E-004,1473.235680,6.8170E-005,1473.235680,4.6280E-005,1473.235680,3.0116E000
1473.252160,2.0500E-004,1473.252160,1.2080E-004,1473.252160,6.8140E-005,1473.252160,4.6320E-005,1473.252160,3.0085E000
1473.268640,2.0510E-004,1473.268640,1.2070E-004,1473.268640,6.8020E-005,1473.268640,4.6370E-005,1473.268640,3.0153E000
1473.285120,2.0460E-004,1473.285120,1.2050E-004,1473.285120,6.7990E-005,1473.285120,4.6450E-005,1473.285120,3.0093E000
1473.301600,2.0480E-004,1473.301600,1.2040E-004,1473.301600,6.7850E-005,1473.301600,4.6370E-005,1473.301600,3.0184E000
1473.318080,2.0460E-004,1473.318080,1.2020E-004,1473.318080,6.7740E-005,1473.318080,4.6370E-005,1473.318080,3.0204E000
1473.334560,2.0510E-004,1473.334560,1.2050E-004,1473.334560,6.7990E-005,1473.334560,4.6560E-005,1473.334560,3.0166E000
1473.351040,2.0510E-004,1473.351040,1.2080E-004,1473.351040,6.7850E-005,1473.351040,4.6580E-005,1473.351040,3.0228E000
1473.367520,2.0530E-004,1473.367520,1.2090E-004,1473.367520,6.7910E-005,1473.367520,4.6840E-005,1473.367520,3.0231E000
1473.384000,2.0590E-004,1473.384000,1.2110E-004,1473.384000,6.7740E-005,1473.384000,4.6990E-005,1473.384000,3.0396E000
1473.400480,2.0590E-004,1473.400480,1.2120E-004,1473.400480,6.8020E-005,1473.400480,4.7070E-005,1473.400480,3.0271E000
1473.416960,2.0630E-004,1473.416960,1.2130E-004,1473.416960,6.7910E-005,1473.416960,4.7330E-005,1473.416960,3.0378E000
1473.433440,2.0590E-004,1473.433440,1.2130E-004,1473.433440,6.7720E-005,1473.433440,4.7310E-005,1473.433440,3.0405E000
1473.449920,2.0610E-004,1473.449920,1.2130E-004,1473.449920,6.7890E-005,1473.449920,4.7280E-005,1473.449920,3.0358E000
1473.466400,2.0610E-004,1473.466400,1.2140E-004,1473.466400,6.7780E-005,1473.466400,4.7390E-005,1473.466400,3.0407E000
1473.482880,2.0590E-004,1473.482880,1.2110E-004,1473.482880,6.7570E-005,1473.482880,4.7500E-005,1473.482880,3.0472E000
1473.499360,2.0550E-004,1473.499360,1.2100E-004,1473.499360,6.7590E-005,1473.499360,4.7410E-005,1473.499360,3.0404E000
1473.515840,2.0570E-004,1473.515840,1.2090E-004,1473.515840,6.7480E-005,1473.515840,4.7450E-005,1473.515840,3.0483E000
1473.532320,2.0510E-004,1473.532320,1.2090E-004,1473.532320,6.7310E-005,1473.532320,4.7450E-005,1473.532320,3.0471E000
1473.548800,2.0530E-004,1473.548800,1.2080E-004,1473.548800,6.7210E-005,1473.548800,4.7450E-005,1473.548800,3.0546E000
1473.565280,2.0540E-004,1473.565280,1.2090E-004,1473.565280,6.7340E-005,1473.565280,4.7550E-005,1473.565280,3.0502E000
1473.581760,2.0470E-004,1473.581760,1.2050E-004,1473.581760,6.7100E-005,1473.581760,4.7550E-005,1473.581760,3.0507E000
1473.598240,2.0360E-004,1473.598240,1.2020E-004,1473.598240,6.6850E-005,1473.598240,4.7470E-005,1473.598240,3.0456E000
1473.614720,2.0240E-004,1473.614720,1.1910E-004,1473.614720,6.6250E-005,1473.614720,4.7170E-005,1473.614720,3.0551E000
1473.631200,2.0090E-004,1473.631200,1.1830E-004,1473.631200,6.5720E-005,1473.631200,4.6890E-005,1473.631200,3.0569E000
1473.647680,2.0260E-004,1473.647680,1.1920E-004,1473.647680,6.6120E-005,1473.647680,4.7130E-005,1473.647680,3.0641E000
1473.664160,2.0430E-004,1473.664160,1.2050E-004,1473.664160,6.6760E-005,1473.664160,4.7640E-005,1473.664160,3.0602E000
1473.680640,2.0580E-004,1473.680640,1.2140E-004,1473.680640,6.7290E-005,1473.680640,4.7960E-005,1473.680640,3.0584E000
1473.697120,2.0700E-004,1473.697120,1.2190E-004,1473.697120,6.7340E-005,1473.697120,4.8320E-005,1473.697120,3.0740E000
1473.713600,2.0660E-004,1473.713600,1.2190E-004,1473.713600,6.7470E-005,1473.713600,4.8430E-005,1473.713600,3.0621E000
1473.730080,2.0680E-004,1473.730080,1.2170E-004,1473.730080,6.7360E-005,1473.730080,4.8450E-005,1473.730080,3.0701E000
1473.746560,2.0700E-004,1473.746560,1.2160E-004,1473.746560,6.7250E-005,1473.746560,4.8590E-005,1473.746560,3.0781E000
1473.763040,2.0680E-004,1473.763040,1.2170E-004,1473.763040,6.7360E-005,1473.763040,4.8700E-005,1473.763040,3.0701E000
1473.779520,2.0700E-004,1473.779520,1.2180E-004,1473.779520,6.7360E-005,1473.779520,4.8740E-005,1473.779520,3.0730E000
1473.796000,2.0710E-004,1473.796000,1.2180E-004,1473.796000,6.7250E-005,1473.796000,4.8700E-005,1473.796000,3.0796E000
1473.812480,2.0700E-004,1473.812480,1.2200E-004,1473.812480,6.7150E-005,1473.812480,4.8850E-005,1473.812480,3.0827E000
1473.828960,2.0730E-004,1473.828960,1.2210E-004,1473.828960,6.7250E-005,1473.828960,4.8890E-005,1473.828960,3.0825E000
1473.845440,2.0770E-004,1473.845440,1.2250E-004,1473.845440,6.7420E-005,1473.845440,4.8940E-005,1473.845440,3.0807E000
1473.861920,2.0810E-004,1473.861920,1.2260E-004,1473.861920,6.7510E-005,1473.861920,4.9150E-005,1473.861920,3.0825E000
1473.878400,2.0850E-004,1473.878400,1.2300E-004,1473.878400,6.7590E-005,1473.878400,4.9280E-005,1473.878400,3.0848E000
1473.894880,2.0850E-004,1473.894880,1.2300E-004,1473.894880,6.7590E-005,1473.894880,4.9400E-005,1473.894880,3.0848E000
1473.911360,2.0850E-004,1473.911360,1.2310E-004,1473.911360,6.7760E-005,1473.911360,4.9400E-005,1473.911360,3.0770E000
1473.927840,2.0870E-004,1473.927840,1.2330E-004,1473.927840,6.7570E-005,1473.927840,4.9510E-005,1473.927840,3.0886E000
1473.944320,2.0870E-004,1473.944320,1.2320E-004,1473.944320,6.7590E-005,1473.944320,4.9660E-005,1473.944320,3.0877E000
1473.960800,2.0850E-004,1473.960800,1.2280E-004,1473.960800,6.7470E-005,1473.960800,4.9680E-005,1473.960800,3.0903E000
1473.977280,2.0870E-004,1473.977280,1.2290E-004,1473.977280,6.7380E-005,1473.977280,4.9620E-005,1473.977280,3.0974E000
1473.993760,2.0830E-004,1473.993760,1.2270E-004,1473.993760,6.7300E-005,1473.993760,4.9720E-005,1473.993760,3.0951E000
1474.010240,2.0830E-004,1474.010240,1.2270E-004,1474.010240,6.7170E-005,1474.010240,4.9620E-005,1474.010240,3.1011E000
1474.026720,2.0850E-004,1474.026720,1.2270E-004,1474.026720,6.7230E-005,1474.026720,4.9740E-005,1474.026720,3.1013E000
1474.043200,2.0880E-004,1474.043200,1.2280E-004,1474.043200,6.7190E-005,1474.043200,4.9770E-005,1474.043200,3.1076E000
1474.059680,2.0900E-004,1474.059680,1.2280E-004,1474.059680,6.7230E-005,1474.059680,4.9770E-005,1474.059680,3.1087E000
1474.076160,2.0940E-004,1474.076160,1.2290E-004,1474.076160,6.7470E-005,1474.076160,4.9890E-005,1474.076160,3.1036E000
1474.092640,2.0960E-004,1474.092640,1.2340E-004,1474.092640,6.7470E-005,1474.092640,5.0090E-005,1474.092640,3.1066E000
1474.109120,2.1000E-004,1474.109120,1.2350E-004,1474.109120,6.7470E-005,1474.109120,5.0150E-005,1474.109120,3.1125E000
1474.125600,2.1050E-004,1474.125600,1.2380E-004,1474.125600,6.7590E-005,1474.125600,5.0180E-005,1474.125600,3.1144E000
1474.142080,2.0950E-004,1474.142080,1.2390E-004,1474.142080,6.7360E-005,1474.142080,5.0270E-005,1474.142080,3.1102E000
1474.158560,2.1010E-004,1474.158560,1.2390E-004,1474.158560,6.7340E-005,1474.158560,5.0400E-005,1474.158560,3.1200E000
1474.175040,2.0970E-004,1474.175040,1.2370E-004,1474.175040,6.7430E-005,1474.175040,5.0420E-005,1474.175040,3.1099E000
1474.191520,2.0970E-004,1474.191520,1.2380E-004,1474.191520,6.7380E-005,1474.191520,5.0350E-005,1474.191520,3.1122E000
1474.208000,2.0990E-004,1474.208000,1.2360E-004,1474.208000,6.7170E-005,1474.208000,5.0420E-005,1474.208000,3.1249E000
1474.224480,2.0970E-004,1474.224480,1.2350E-004,1474.224480,6.7090E-005,1474.224480,5.0230E-005,1474.224480,3.1257E000
1474.240960,2.0950E-004,1474.240960,1.2330E-004,1474.240960,6.7020E-005,1474.240960,5.0310E-005,1474.240960,3.1259E000
1474.257440,2.0930E-004,1474.257440,1.2330E-004,1474.257440,6.7040E-005,1474.257440,5.0270E-005,1474.257440,3.1220E000
1474.273920,2.0950E-004,1474.273920,1.2360E-004,1474.273920,6.6960E-005,1474.273920,5.0250E-005,1474.273920,3.1287E000
1474.290400,2.0930E-004,1474.290400,1.2360E-004,1474.290400,6.6910E-005,1474.290400,5.0310E-005,1474.290400,3.1281E000
1474.306880,2.0950E-004,1474.306880,1.2360E-004,1474.306880,6.7060E-005,1474.306880,5.0350E-005,1474.306880,3.1241E000
1474.323360,2.0990E-004,1474.323360,1.2380E-004,1474.323360,6.7150E-005,1474.323360,5.0460E-005,1474.323360,3.1258E000
1474.339840,2.1050E-004,1474.339840,1.2390E-004,1474.339840,6.7000E-005,1474.339840,5.0440E-005,1474.339840,3.1418E000
1474.356320,2.1050E-004,1474.356320,1.2400E-004,1474.356320,6.7210E-005,1474.356320,5.0610E-005,1474.356320,3.1320E000
1474.372800,2.1030E-004,1474.372800,1.2400E-004,1474.372800,6.7090E-005,1474.372800,5.0730E-005,1474.372800,3.1346E000
1474.389280,2.1070E-004,1474.389280,1.2400E-004,1474.389280,6.7170E-005,1474.389280,5.0670E-005,1474.389280,3.1368E000
1474.405760,2.1030E-004,1474.405760,1.2410E-004,1474.405760,6.7090E-005,1474.405760,5.0670E-005,1474.405760,3.1346E000
1474.422240,2.1030E-004,1474.422240,1.2390E-004,1474.422240,6.6910E-005,1474.422240,5.0610E-005,1474.422240,3.1430E000
1474.438720,2.0970E-004,1474.438720,1.2390E-004,1474.438720,6.6890E-005,1474.438720,5.0670E-005,1474.438720,3.1350E000
1474.455200,2.1010E-004,1474.455200,1.2370E-004,1474.455200,6.6810E-005,1474.455200,5.0710E-005,1474.455200,3.1447E000
1474.471680,2.0990E-004,1474.471680,1.2370E-004,1474.471680,6.6770E-005,1474.471680,5.0560E-005,1474.471680,3.1436E000
1474.488160,2.0930E-004,1474.488160,1.2370E-004,1474.488160,6.6600E-005,1474.488160,5.0590E-005,1474.488160,3.1426E000
1474.504640,2.0930E-004,1474.504640,1.2340E-004,1474.504640,6.6830E-005,1474.504640,5.0650E-005,1474.504640,3.1318E000
1474.521120,2.0970E-004,1474.521120,1.2370E-004,1474.521120,6.6550E-005,1474.521120,5.0690E-005,1474.521120,3.1510E000
1474.537600,2.1030E-004,1474.537600,1.2370E-004,1474.537600,6.6700E-005,1474.537600,5.0760E-005,1474.537600,3.1529E000
1474.554080,2.0990E-004,1474.554080,1.2370E-004,1474.554080,6.6640E-005,1474.554080,5.0780E-005,1474.554080,3.1498E000
1474.570560,2.1030E-004,1474.570560,1.2420E-004,1474.570560,6.6700E-005,1474.570560,5.0860E-005,1474.570560,3.1529E000
1474.587040,2.1050E-004,1474.587040,1.2420E-004,1474.587040,6.6720E-005,1474.587040,5.0860E-005,1474.587040,3.1550E000
1474.603520,2.1070E-004,1474.603520,1.2420E-004,1474.603520,6.6660E-005,1474.603520,5.0820E-005,1474.603520,3.1608E000
1474.620000,2.1100E-004,1474.620000,1.2430E-004,1474.620000,6.6830E-005,1474.620000,5.0880E-005,1474.620000,3.1573E000
1474.636480,2.1070E-004,1474.636480,1.2440E-004,1474.636480,6.6850E-005,1474.636480,5.1180E-005,1474.636480,3.1518E000
1474.652960,2.1080E-004,1474.652960,1.2430E-004,1474.652960,6.6790E-005,1474.652960,5.1030E-005,1474.652960,3.1562E000
1474.669440,2.1070E-004,1474.669440,1.2440E-004,1474.669440,6.6660E-005,1474.669440,5.1100E-005,1474.669440,3.1608E000
1474.685920,2.1060E-004,1474.685920,1.2450E-004,1474.685920,6.6830E-005,1474.685920,5.0880E-005,1474.685920,3.1513E000
1474.702400,2.1080E-004,1474.702400,1.2410E-004,1474.702400,6.6730E-005,1474.702400,5.1090E-005,1474.702400,3.1590E000
1474.718880,2.1060E-004,1474.718880,1.2410E-004,1474.718880,6.6660E-005,1474.718880,5.0980E-005,1474.718880,3.1593E000
1474.735360,2.1060E-004,1474.735360,1.2450E-004,1474.735360,6.6580E-005,1474.735360,5.1020E-005,1474.735360,3.1631E000
1474.751840,2.1060E-004,1474.751840,1.2450E-004,1474.751840,6.6560E-005,1474.751840,5.0920E-005,1474.751840,3.1641E000
1474.768320,2.1110E-004,1474.768320,1.2440E-004,1474.768320,6.6540E-005,1474.768320,5.1070E-005,1474.768320,3.1725E000
1474.784800,2.1150E-004,1474.784800,1.2450E-004,1474.784800,6.6660E-005,1474.784800,5.1090E-005,1474.784800,3.1728E000
1474.801280,2.1150E-004,1474.801280,1.2500E-004,1474.801280,6.6700E-005,1474.801280,5.1190E-005,1474.801280,3.1709E000
1474.817760,2.1210E-004,1474.817760,1.2500E-004,1474.817760,6.6730E-005,1474.817760,5.1260E-005,1474.817760,3.1785E000
1474.834240,2.1210E-004,1474.834240,1.2520E-004,1474.834240,6.6710E-005,1474.834240,5.1410E-005,1474.834240,3.1794E000
1474.850720,2.1230E-004,1474.850720,1.2550E-004,1474.850720,6.6830E-005,1474.850720,5.1560E-005,1474.850720,3.1767E000
1474.867200,2.1230E-004,1474.867200,1.2570E-004,1474.867200,6.6870E-005,1474.867200,5.1490E-005,1474.867200,3.1748E000
1474.883680,2.1250E-004,1474.883680,1.2560E-004,1474.883680,6.6870E-005,1474.883680,5.1430E-005,1474.883680,3.1778E000
1474.900160,2.1230E-004,1474.900160,1.2550E-004,1474.900160,6.6850E-005,1474.900160,5.1490E-005,1474.900160,3.1758E000
1474.916640,2.1250E-004,1474.916640,1.2550E-004,1474.916640,6.6900E-005,1474.916640,5.1470E-005,1474.916640,3.1764E000
1474.933120,2.1230E-004,1474.933120,1.2560E-004,1474.933120,6.6660E-005,1474.933120,5.1380E-005,1474.933120,3.1848E000
1474.949600,2.1170E-004,1474.949600,1.2520E-004,1474.949600,6.6660E-005,1474.949600,5.1360E-005,1474.949600,3.1758E000
1474.966080,2.1210E-004,1474.966080,1.2490E-004,1474.966080,6.6700E-005,1474.966080,5.1280E-005,1474.966080,3.1799E000
1474.982560,2.1150E-004,1474.982560,1.2500E-004,1474.982560,6.6710E-005,1474.982560,5.1320E-005,1474.982560,3.1704E000
1474.999040,2.1210E-004,1474.999040,1.2530E-004,1474.999040,6.6730E-005,1474.999040,5.1360E-005,1474.999040,3.1785E000
1475.015520,2.1250E-004,1475.015520,1.2540E-004,1475.015520,6.6640E-005,1475.015520,5.1470E-005,1475.015520,3.1888E000
1475.032000,2.1270E-004,1475.032000,1.2560E-004,1475.032000,6.6700E-005,1475.032000,5.1430E-005,1475.032000,3.1889E000
1475.048480,2.1300E-004,1475.048480,1.2560E-004,1475.048480,6.6920E-005,1475.048480,5.1640E-005,1475.048480,3.1829E000
1475.064960,2.1320E-004,1475.064960,1.2620E-004,1475.064960,6.6940E-005,1475.064960,5.1640E-005,1475.064960,3.1849E000
